ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_Rating,Cost_of_the_Product,Prior_purchases,Order_Priority,Gender,Discount,Weight_in_grams,Arrived_on_schedule,Order_Date,Time
25,D,Ship,4,5,251,2,medium,Female,28,3561,1,20-08-2022,23:46:53
26,F,Ship,3,1,225,4,low,Male,29,3496,1,04-10-2022,0:00:13
27,A,Ship,4,1,172,3,high,Female,24,1066,1,12-12-2022,1:50:26
28,B,Ship,5,1,162,3,medium,Male,31,1435,1,02-05-2022,11:45:38
29,C,Ship,2,3,234,4,low,Male,44,3134,1,25-08-2022,13:50:30
30,F,Ship,5,4,183,2,low,Female,36,3819,1,10-11-2022,11:58:33
31,D,Ship,3,4,266,2,medium,Female,38,2741,1,16-09-2022,21:15:39
32,F,Ship,5,3,257,2,low,Female,61,3341,1,12-03-2022,13:56:04
33,A,Ship,3,1,223,3,low,Female,22,3795,1,03-08-2022,12:38:58
34,B,Ship,4,2,234,3,medium,Male,4,3261,1,29-07-2022,23:34:51
35,C,Ship,4,2,227,4,medium,Female,22,2460,1,17-08-2022,15:59:46
36,F,Ship,5,4,149,3,medium,Female,44,1811,1,21-08-2022,18:15:12
37,D,Ship,3,5,137,4,high,Female,62,1477,1,30-07-2022,21:37:10
38,F,Ship,2,4,181,6,medium,Female,16,3605,1,01-10-2022,12:23:13
39,A,Ship,5,1,215,4,low,Female,56,3905,1,26-12-2022,17:12:18
40,B,Ship,4,2,269,5,low,Female,45,2383,1,19-05-2022,18:53:40
41,C,Ship,5,1,227,2,low,Male,15,3798,1,24-04-2022,21:27:48
42,F,Ship,5,5,139,4,medium,Male,61,1265,1,04-11-2022,17:10:39
43,D,Ship,3,5,137,2,medium,Male,38,1647,1,04-11-2022,23:25:30
44,F,Ship,3,1,174,2,low,Male,44,1556,1,18-05-2022,13:55:47
45,A,Ship,3,1,151,2,low,Male,29,1328,1,14-05-2022,20:28:25
46,B,Ship,5,1,210,3,low,Female,9,2944,1,17-05-2022,16:59:11
47,C,Ship,3,4,169,4,medium,Female,32,1245,1,29-07-2022,11:24:17
48,F,Ship,5,1,160,2,low,Male,32,1576,1,09-11-2022,20:19:05
49,D,Ship,5,4,190,2,medium,Male,9,3753,1,01-08-2022,14:02:19
50,F,Ship,5,3,216,3,low,Female,40,2146,1,26-10-2022,13:42:52
51,A,Ship,4,1,183,3,low,Male,37,2042,1,26-07-2022,14:39:59
52,B,Ship,4,4,141,3,low,Male,22,1735,1,15-03-2022,0:06:10
53,C,Ship,4,3,165,3,low,Female,44,1320,1,30-11-2022,8:15:24
54,F,Ship,2,1,170,3,low,Male,41,1128,1,11-10-2022,10:25:52
55,D,Ship,4,3,203,3,high,Male,12,3539,1,11-10-2022,8:18:19
56,F,Ship,2,5,246,5,low,Male,46,2437,1,09-12-2022,14:50:15
57,A,Ship,3,3,238,3,low,Female,61,3096,1,13-12-2022,18:14:36
58,B,Ship,3,3,193,3,medium,Female,29,3453,1,13-10-2022,21:11:26
59,C,Ship,5,5,141,3,high,Male,41,1367,1,30-04-2022,22:02:15
60,F,Ship,4,1,150,3,high,Female,17,1923,1,05-11-2022,13:09:48
61,D,Ship,3,1,221,3,low,Female,64,2794,1,15-04-2022,11:31:41
62,F,Ship,3,3,179,3,medium,Male,52,1158,1,19-08-2022,20:31:09
63,A,Ship,5,1,105,6,medium,Male,62,1292,1,22-09-2022,8:48:13
64,B,Ship,3,1,177,3,medium,Male,61,1880,1,07-06-2022,21:44:54
65,C,Ship,4,5,261,2,high,Male,49,3045,1,10-08-2022,13:26:59
66,F,Ship,3,2,202,3,low,Male,49,2881,1,18-10-2022,16:02:23
67,D,Ship,3,2,109,3,medium,Female,15,1710,1,13-10-2022,13:47:39
68,F,Ship,3,3,158,3,low,Female,6,1878,1,15-07-2022,8:33:19
69,A,Ship,4,2,231,4,medium,Female,6,2512,1,13-02-2022,14:27:11
70,B,Ship,3,5,206,3,medium,Male,39,2929,1,13-09-2022,8:44:17
71,C,Ship,5,1,187,4,high,Male,14,3849,1,15-08-2022,10:33:30
72,F,Ship,5,5,230,2,low,Female,2,2229,1,20-08-2022,11:45:39
73,D,Ship,5,5,232,3,medium,Female,33,2998,1,20-09-2022,17:15:46
74,F,Ship,4,5,215,3,medium,Female,21,3984,1,15-02-2022,9:19:48
75,A,Ship,6,1,238,6,low,Female,13,2442,1,28-07-2022,16:52:55
76,B,Ship,4,1,266,3,low,Female,23,3775,1,09-11-2022,18:32:47
77,C,Ship,2,3,158,2,medium,Female,36,1788,1,26-11-2022,22:04:34
78,F,Ship,3,3,113,3,low,Female,43,1518,1,30-07-2022,3:06:35
79,D,Ship,3,4,223,3,low,Male,18,3959,1,22-03-2022,0:17:37
80,F,Ship,3,5,257,2,medium,Female,56,3711,1,06-09-2022,22:39:29
81,A,Ship,3,4,180,2,medium,Female,49,1942,1,09-05-2022,20:48:59
82,B,Ship,2,5,132,3,low,Male,18,1759,1,20-09-2022,20:42:44
83,C,Ship,4,4,217,3,high,Female,26,2875,1,16-01-2022,14:56:50
84,F,Ship,5,5,162,3,high,Female,31,1364,1,08-03-2022,9:42:43
85,D,Ship,4,5,197,2,medium,Female,40,2710,1,26-11-2022,16:53:30
86,F,Ship,3,4,197,3,medium,Male,13,2148,1,27-08-2022,12:55:42
87,A,Ship,4,1,185,2,low,Male,44,2910,1,11-05-2022,13:10:51
88,B,Ship,6,2,278,3,medium,Female,3,2974,1,22-06-2022,19:22:22
89,C,Ship,3,3,229,3,low,Male,49,2339,1,01-05-2022,8:12:37
90,F,Ship,4,1,186,4,medium,Female,57,3880,1,19-02-2022,22:17:15
91,D,Ship,5,3,174,6,high,Female,41,1085,1,11-09-2022,22:32:31
92,F,Ship,5,5,286,3,low,Female,18,3163,1,20-03-2022,23:45:07
93,A,Ship,4,4,175,2,medium,Female,7,1188,1,22-09-2022,23:23:18
94,B,Ship,3,3,219,3,medium,Female,17,3387,1,03-11-2022,8:59:39
95,C,Ship,4,1,213,4,high,Female,35,2343,1,14-05-2022,8:35:33
96,F,Ship,2,3,235,3,low,Male,57,2034,1,22-04-2022,11:32:22
97,D,Ship,3,3,149,2,medium,Male,18,1225,1,30-12-2022,7:50:33
98,F,Ship,4,1,271,2,medium,Female,8,2401,1,05-10-2022,9:10:34
99,A,Ship,3,5,144,4,medium,Male,5,1104,1,26-11-2022,11:04:26
100,B,Ship,4,2,145,2,medium,Male,21,1617,1,17-05-2022,8:36:11
101,C,Ship,5,3,143,2,medium,Male,59,1837,1,30-07-2022,22:41:44
102,F,Ship,5,5,227,4,low,Male,53,2624,1,01-12-2022,22:14:26
103,D,Ship,2,1,213,3,low,Male,29,2732,1,06-08-2022,21:09:10
104,F,Ship,5,1,144,4,low,Male,37,1658,1,28-06-2022,23:45:53
105,A,Ship,3,3,218,3,low,Male,3,2255,1,27-06-2022,22:04:34
106,B,Ship,4,2,144,3,medium,Male,59,1588,1,01-07-2022,15:42:32
107,C,Ship,3,1,238,3,low,Male,17,2624,1,27-02-2022,12:07:22
108,F,Ship,4,5,216,3,high,Male,26,2053,1,28-04-2022,21:00:44
109,D,Ship,4,5,238,3,high,Female,55,3257,1,01-08-2022,12:31:21
110,F,Ship,4,1,141,3,medium,Male,47,1250,1,22-11-2022,16:10:29
111,A,Road,3,1,158,2,low,Male,2,1284,1,06-07-2022,23:36:15
112,B,Road,4,2,239,3,low,Female,65,3679,1,09-05-2022,18:27:00
113,C,Road,4,3,175,2,low,Male,25,1816,1,26-04-2022,17:49:46
114,F,Road,3,2,263,3,low,Male,41,2817,1,27-10-2022,23:11:57
115,D,Road,3,5,168,2,high,Male,50,1616,1,23-06-2022,10:32:39
116,F,Road,3,4,176,3,high,Male,36,1779,1,20-11-2022,18:24:30
117,A,Road,4,1,150,4,high,Male,60,1024,1,30-06-2022,7:51:17
118,B,Road,4,3,265,2,medium,Female,31,2326,1,30-12-2022,14:20:46
119,C,Road,2,5,263,3,low,Female,5,2947,1,07-12-2022,23:00:33
120,F,Road,5,1,145,3,low,Male,20,1387,1,08-05-2022,22:12:34
121,D,Road,4,2,183,3,low,Female,33,2741,1,30-12-2022,14:46:00
122,F,Road,3,3,205,3,medium,Female,19,2167,1,24-04-2022,21:55:22
123,A,Road,4,2,160,3,low,Male,64,1714,1,25-09-2022,22:18:10
124,B,Road,3,3,252,2,medium,Female,48,2102,1,16-07-2022,10:27:45
125,C,Road,5,5,222,3,low,Male,10,2280,1,21-04-2022,12:08:32
126,F,Road,3,3,203,2,low,Male,25,3607,1,19-01-2022,15:08:48
127,D,Road,4,5,220,3,medium,Male,40,3516,1,22-07-2022,15:19:05
128,F,Road,3,3,147,4,low,Female,60,1722,1,02-03-2022,14:28:03
129,A,Road,4,4,200,4,medium,Male,16,2060,1,26-12-2022,9:14:26
130,B,Road,4,5,224,4,medium,Male,21,2026,1,09-06-2022,6:37:43
131,C,Road,3,5,179,2,low,Female,17,1364,1,06-08-2022,18:25:39
132,F,Road,3,4,144,3,low,Male,50,1865,1,18-07-2022,13:39:54
133,D,Flight,5,2,247,3,low,Male,17,3889,1,28-12-2022,16:03:34
134,F,Flight,5,4,280,6,medium,Female,51,3582,1,08-10-2022,12:19:58
135,A,Flight,3,3,168,2,medium,Female,1,1829,1,10-07-2022,12:23:05
136,B,Flight,3,5,157,3,medium,Female,4,1889,1,16-05-2022,16:10:21
137,C,Flight,3,3,189,4,medium,Female,51,2208,1,05-07-2022,18:40:47
138,F,Flight,3,5,162,2,medium,Male,7,1739,1,20-02-2022,17:12:34
139,D,Flight,4,1,207,5,low,Male,48,2399,1,21-08-2022,17:15:49
140,F,Flight,5,1,237,2,low,Female,10,3860,1,10-06-2022,14:18:40
141,A,Flight,4,4,264,3,high,Male,59,2020,1,26-09-2022,16:14:11
142,B,Flight,5,4,149,3,low,Male,51,1645,1,27-04-2022,19:24:52
143,C,Flight,5,5,162,3,low,Male,41,1462,1,11-05-2022,16:35:19
144,F,Flight,2,1,205,4,medium,Female,63,2156,1,25-05-2022,8:54:21
145,D,Flight,2,1,158,3,medium,Female,51,1540,1,26-04-2022,9:32:06
146,F,Flight,2,2,248,2,low,Male,46,3707,1,17-04-2022,21:14:42
147,A,Flight,3,5,191,3,low,Male,23,3750,1,23-07-2022,18:27:07
148,B,Flight,4,3,146,4,medium,Female,24,1844,1,14-08-2022,13:05:17
149,C,Flight,3,3,135,3,low,Male,56,1490,1,30-09-2022,22:43:56
150,F,Flight,5,1,149,3,low,Male,40,1062,1,15-05-2022,16:29:03
151,D,Flight,4,4,220,2,medium,Female,7,2551,1,22-07-2022,19:16:47
152,F,Flight,5,3,98,5,medium,Male,44,1269,1,24-10-2022,19:01:52
153,A,Flight,3,4,97,4,low,Male,32,1238,1,02-07-2022,12:54:20
154,B,Flight,3,3,183,2,low,Male,53,3932,1,06-12-2022,0:14:28
155,C,Ship,3,3,162,3,medium,Female,8,1869,1,04-01-2022,23:02:21
156,F,Ship,5,1,114,4,low,Female,47,1443,1,21-03-2022,17:43:41
157,D,Ship,6,3,275,5,low,Male,41,2491,1,02-08-2022,16:15:41
158,F,Ship,3,2,203,2,medium,Female,39,3845,1,01-10-2022,11:26:06
159,A,Ship,5,5,205,2,high,Male,65,3671,1,09-11-2022,16:23:03
160,B,Ship,3,3,149,3,low,Female,63,1946,1,15-04-2022,13:47:34
161,C,Ship,2,2,112,4,medium,Male,56,1138,1,26-09-2022,11:59:05
162,F,Ship,3,1,207,3,medium,Female,56,3482,1,15-07-2022,12:37:12
163,D,Ship,4,1,261,4,low,Female,58,3427,1,30-05-2022,22:33:08
164,F,Ship,5,2,274,3,medium,Male,6,3375,1,02-03-2022,14:08:33
165,A,Ship,3,5,141,2,low,Male,52,1692,1,29-12-2022,14:27:41
166,B,Ship,3,3,166,4,medium,Female,17,1498,1,25-10-2022,15:36:18
167,C,Ship,5,2,141,3,high,Female,34,1020,1,11-02-2022,7:54:38
168,F,Ship,4,5,152,3,low,Male,43,1709,1,15-09-2022,19:42:06
169,D,Ship,4,2,250,3,low,Female,53,2478,1,13-06-2022,8:19:23
170,F,Ship,4,3,161,3,medium,Female,28,1809,1,04-09-2022,8:39:50
171,A,Ship,4,3,185,3,medium,Female,10,2263,1,26-02-2022,12:32:39
172,B,Ship,4,4,176,4,high,Female,52,1096,1,28-08-2022,17:00:28
173,C,Ship,3,4,148,3,low,Male,56,1550,1,22-09-2022,19:26:47
174,F,Ship,3,2,270,3,low,Female,63,2751,1,13-02-2022,9:18:50
175,D,Ship,3,3,242,3,low,Female,51,3935,1,18-06-2022,9:30:54
176,F,Ship,4,4,150,2,medium,Male,3,1285,1,14-12-2022,16:25:43
177,A,Ship,4,5,192,3,high,Male,20,3872,1,20-03-2022,12:30:40
178,B,Ship,4,5,116,3,medium,Male,54,1314,1,04-03-2022,17:24:57
179,C,Ship,3,3,192,3,medium,Female,2,3995,1,03-11-2022,22:23:06
180,F,Ship,5,5,255,4,medium,Male,3,3440,1,29-12-2022,14:29:44
181,D,Ship,4,1,161,7,medium,Female,18,1294,1,18-05-2022,20:59:24
182,F,Ship,4,5,157,3,low,Male,20,1487,1,16-10-2022,0:22:49
183,A,Ship,3,2,164,10,high,Female,28,1940,1,05-07-2022,9:16:49
184,B,Ship,3,5,162,7,medium,Female,16,1052,1,27-07-2022,12:45:51
185,C,Ship,3,3,146,2,low,Male,50,1486,1,08-07-2022,14:12:08
186,F,Ship,3,2,209,3,medium,Male,54,3001,1,15-12-2022,16:59:11
187,D,Ship,5,4,134,2,medium,Female,55,1386,1,25-10-2022,19:30:09
188,F,Ship,2,1,222,2,medium,Male,5,3778,1,28-08-2022,21:27:43
189,A,Ship,2,5,139,3,low,Female,27,1233,1,16-09-2022,21:07:16
190,B,Ship,2,4,134,3,low,Female,42,1415,1,15-05-2022,19:55:51
191,C,Ship,2,5,130,3,low,Male,16,1092,1,13-07-2022,15:45:51
192,F,Ship,2,5,133,3,low,Female,62,1596,1,01-11-2022,18:52:12
193,D,Ship,2,4,140,3,low,Female,7,1411,1,21-07-2022,12:49:32
194,F,Ship,2,2,158,3,low,Male,28,1968,1,09-12-2022,22:17:49
195,A,Ship,4,2,270,4,low,Female,46,1736,1,09-03-2022,17:27:58
196,B,Ship,2,5,140,3,low,Female,30,1030,1,01-11-2022,10:48:19
197,C,Ship,2,2,135,3,low,Male,15,1339,1,09-09-2022,13:56:45
198,F,Ship,2,3,136,3,low,Female,19,1568,1,10-08-2022,19:27:28
199,D,Ship,2,3,142,3,medium,Female,38,7640,1,27-09-2022,11:08:59
200,F,Ship,2,2,154,3,medium,Male,38,7846,1,06-03-2022,15:26:09
201,A,Ship,2,3,139,3,low,Male,9,1471,1,30-04-2022,22:37:50
202,B,Ship,2,3,160,3,low,Female,43,1251,1,05-10-2022,13:24:46
203,C,Ship,2,4,134,3,low,Male,58,1067,1,12-02-2022,16:32:09
204,F,Ship,5,3,161,5,high,Male,48,1883,1,22-07-2022,22:30:05
205,D,Ship,2,5,155,3,low,Male,23,1602,1,03-10-2022,18:24:33
206,F,Ship,2,3,145,3,medium,Female,24,7588,1,23-05-2022,16:37:35
207,A,Ship,2,2,157,3,low,Male,1,1477,1,03-08-2022,10:51:17
208,B,Ship,2,2,160,3,low,Male,48,1691,1,17-05-2022,8:33:19
209,C,Ship,2,4,152,3,low,Male,55,1498,1,10-11-2022,13:42:06
210,F,Ship,2,5,148,3,high,Female,11,1502,1,18-09-2022,20:13:31
211,D,Ship,2,1,127,3,low,Female,15,1522,1,27-02-2022,14:43:47
212,F,Ship,2,5,154,3,low,Female,21,1113,1,05-08-2022,17:27:54
213,A,Ship,2,5,127,3,low,Male,44,1341,1,16-04-2022,14:32:06
214,B,Ship,2,5,160,3,medium,Female,31,7401,1,30-06-2022,13:21:44
215,C,Ship,2,4,129,3,low,Female,48,1219,1,11-06-2022,16:51:17
216,F,Ship,2,5,158,3,low,Female,40,1722,1,04-10-2022,10:05:59
217,D,Ship,4,3,185,3,medium,Male,3,3131,1,29-12-2022,16:17:53
218,F,Ship,4,4,176,4,high,Female,63,1293,1,17-07-2022,21:55:56
219,A,Ship,3,4,148,3,low,Male,37,1523,1,09-05-2022,14:32:09
220,B,Ship,3,5,270,3,low,Male,60,3885,1,08-11-2022,21:11:25
221,C,Ship,3,4,242,3,low,Male,29,2381,1,17-09-2022,11:25:39
222,F,Ship,4,3,150,2,medium,Male,31,1588,1,22-09-2022,13:48:18
223,D,Ship,4,2,192,3,high,Male,4,2061,1,11-03-2022,21:43:24
224,F,Ship,4,5,116,3,medium,Female,9,1314,1,04-05-2022,10:29:14
225,A,Ship,3,4,192,3,medium,Female,31,3331,1,17-03-2022,19:40:26
226,B,Ship,5,4,255,4,medium,Female,38,2771,1,21-03-2022,4:59:55
227,C,Ship,4,3,161,7,medium,Male,63,1496,1,27-08-2022,10:05:56
228,F,Ship,4,2,157,3,low,Female,48,1393,1,18-12-2022,20:59:28
229,D,Ship,3,2,164,10,high,Male,14,1375,1,05-06-2022,13:34:35
230,F,Ship,3,3,162,7,medium,Female,42,1278,1,24-04-2022,16:56:46
231,A,Ship,3,1,146,2,low,Female,54,1528,1,24-03-2022,17:34:12
232,B,Ship,3,4,209,3,medium,Female,60,2240,1,29-12-2022,15:08:14
233,C,Ship,5,5,134,2,medium,Male,53,1088,1,29-04-2022,17:43:34
234,F,Ship,2,1,222,2,medium,Male,58,3626,1,03-09-2022,13:47:14
235,D,Ship,2,1,139,3,low,Female,39,1582,1,20-09-2022,16:18:26
236,F,Ship,2,2,134,3,low,Male,38,1352,1,25-06-2022,23:13:41
237,A,Ship,2,3,130,3,low,Female,48,1801,1,08-05-2022,14:38:14
238,B,Ship,2,2,133,3,low,Male,5,1268,1,16-10-2022,19:05:54
239,C,Ship,2,3,140,3,low,Female,23,1372,1,02-07-2022,20:47:24
240,F,Ship,2,3,158,3,low,Male,10,1515,1,23-06-2022,23:59:03
241,D,Ship,4,5,270,4,low,Male,65,1818,1,16-06-2022,22:34:16
242,F,Ship,2,4,140,3,low,Female,33,1278,1,22-08-2022,15:04:08
243,A,Ship,2,2,135,3,low,Male,58,1734,1,30-12-2022,23:11:40
244,B,Ship,2,4,136,3,low,Male,43,1958,1,12-08-2022,18:48:56
245,C,Ship,2,1,142,3,medium,Female,8,6064,1,01-08-2022,7:47:34
246,F,Ship,2,4,154,3,medium,Female,48,7684,1,06-10-2022,14:21:47
247,D,Ship,2,3,139,3,low,Female,3,1788,1,17-04-2022,13:12:47
248,F,Road,2,4,160,3,low,Female,50,1030,1,30-06-2022,17:36:43
249,A,Road,2,2,134,3,low,Female,38,1530,1,07-12-2022,12:08:37
250,B,Road,5,5,161,5,high,Female,54,1511,1,10-06-2022,9:04:09
251,C,Road,2,3,155,3,low,Female,45,1639,1,08-08-2022,18:00:36
252,F,Road,2,2,145,3,medium,Female,5,6102,1,30-10-2022,21:57:55
253,D,Road,2,1,157,3,low,Male,58,1930,1,08-11-2022,10:49:59
254,F,Road,2,5,160,3,low,Female,19,1399,1,05-01-2022,5:23:47
255,A,Road,2,2,152,3,low,Female,61,1800,1,10-09-2022,14:58:16
256,B,Road,2,2,148,3,high,Female,35,1349,1,08-08-2022,18:56:45
257,C,Road,2,2,127,3,low,Male,13,1128,1,12-07-2022,20:24:07
258,F,Road,2,2,129,3,medium,Female,22,6614,1,24-04-2022,14:15:53
259,D,Road,2,3,158,3,low,Female,13,1245,1,30-11-2022,17:46:40
260,F,Road,2,4,147,3,low,Male,5,1920,1,15-05-2022,9:10:20
261,A,Road,2,5,159,3,low,Female,49,1621,1,22-06-2022,19:22:26
262,B,Road,2,3,151,3,low,Female,23,1930,1,16-10-2022,0:01:56
263,C,Road,3,1,294,4,low,Female,52,1089,1,28-07-2022,18:21:00
264,F,Road,3,2,226,2,medium,Male,45,1446,1,28-04-2022,21:07:26
265,D,Road,5,3,271,5,high,Male,9,1813,1,11-08-2022,14:13:54
266,F,Road,7,2,203,5,medium,Female,61,1856,1,17-12-2022,15:21:11
267,A,Road,2,3,264,4,low,Female,10,1648,1,03-10-2022,11:52:11
268,B,Road,4,1,258,3,medium,Male,36,2211,1,07-05-2022,21:49:08
269,C,Road,3,5,241,3,low,Female,21,3078,1,09-12-2022,14:58:05
270,F,Flight,4,5,208,3,medium,Male,23,2056,1,27-08-2022,15:53:44
271,D,Flight,3,2,209,5,medium,Female,12,3054,1,24-06-2022,11:40:28
272,F,Flight,5,1,182,2,medium,Female,23,2707,1,09-10-2022,11:02:51
273,A,Flight,4,5,148,2,medium,Female,43,1087,1,11-04-2022,22:16:49
274,B,Flight,2,3,183,2,medium,Female,52,3199,1,28-10-2022,11:08:58
275,C,Flight,3,5,229,6,medium,Male,22,2717,1,01-11-2022,14:58:41
276,F,Flight,5,5,115,5,low,Female,26,1692,1,24-04-2022,17:37:41
277,D,Flight,4,2,136,3,low,Female,65,1962,1,03-08-2022,14:56:55
278,F,Flight,4,4,212,3,low,Male,21,3307,1,27-09-2022,10:24:22
279,A,Flight,4,3,171,3,low,Female,24,1304,1,10-09-2022,16:22:27
280,B,Flight,3,1,151,2,low,Male,60,1925,1,13-04-2022,10:07:36
281,C,Flight,3,1,205,3,medium,Male,39,3062,1,23-07-2022,10:21:28
282,F,Flight,5,4,147,3,medium,Male,23,1132,1,03-09-2022,20:44:15
283,D,Flight,3,3,155,3,low,Female,29,1712,1,12-06-2022,19:27:08
284,F,Flight,5,4,165,3,low,Female,20,1150,1,24-07-2022,17:19:00
285,A,Flight,5,5,230,3,low,Female,32,3249,1,07-12-2022,23:46:19
286,B,Flight,2,4,181,4,medium,Male,13,2309,1,05-10-2022,11:36:11
287,C,Flight,5,3,234,2,low,Female,55,3308,1,15-08-2022,23:27:21
288,F,Flight,4,4,149,3,low,Male,34,1977,1,29-10-2022,0:10:49
289,D,Flight,5,5,156,2,low,Male,44,1561,1,19-06-2022,21:07:32
290,F,Flight,4,2,172,3,medium,Female,59,1858,1,29-12-2022,12:00:11
291,A,Flight,4,4,270,3,low,Male,12,3279,1,15-12-2022,20:23:45
292,B,Ship,4,1,206,3,medium,Male,23,3807,1,27-12-2022,22:14:59
293,C,Ship,4,3,211,4,medium,Male,40,3106,1,03-11-2022,13:32:54
294,F,Ship,3,2,136,4,low,Male,62,1090,1,21-06-2022,17:08:01
295,D,Ship,5,1,186,2,high,Female,52,3981,1,26-02-2022,11:08:38
296,F,Ship,3,1,202,2,medium,Male,62,3398,1,13-02-2022,15:07:45
297,A,Ship,4,2,183,3,medium,Female,12,3646,1,09-11-2022,20:36:13
298,B,Ship,4,4,232,2,low,Male,36,2861,1,07-03-2022,9:40:04
299,C,Ship,4,2,147,4,medium,Male,52,1129,1,30-05-2022,2:41:28
300,F,Ship,4,3,136,3,medium,Male,20,1531,1,27-10-2022,10:45:08
301,D,Ship,5,3,127,3,low,Female,43,1446,1,08-03-2022,4:45:26
302,F,Ship,4,5,202,2,medium,Male,35,3695,1,09-12-2022,15:09:28
303,A,Ship,3,4,241,2,low,Male,57,3671,1,11-02-2022,11:50:32
304,B,Ship,4,3,222,2,medium,Male,55,3833,1,12-10-2022,9:52:46
305,C,Ship,3,2,183,4,medium,Female,12,2777,1,03-07-2022,1:17:32
306,F,Ship,4,4,249,3,medium,Female,36,3769,1,23-05-2022,15:28:58
307,D,Ship,3,1,243,4,high,Male,59,3838,1,29-04-2022,18:27:30
308,F,Ship,3,3,163,3,medium,Male,9,1257,1,14-06-2022,18:49:14
309,A,Ship,4,2,165,2,high,Male,11,1596,1,23-11-2022,15:40:22
310,B,Ship,5,5,266,3,medium,Female,53,3089,1,10-02-2022,22:32:14
311,C,Ship,3,4,193,2,medium,Male,48,3909,1,21-11-2022,16:45:44
312,F,Ship,3,2,154,3,low,Female,56,1136,1,27-05-2022,17:59:00
313,D,Ship,3,3,140,3,medium,Male,51,1046,1,20-05-2022,2:48:00
314,F,Ship,4,3,272,3,medium,Male,38,3705,1,28-07-2022,11:25:16
315,A,Ship,4,2,143,6,medium,Male,20,1654,1,05-03-2022,10:34:52
316,B,Ship,4,2,138,3,low,Female,30,1805,1,07-12-2022,15:37:22
317,C,Ship,4,2,238,2,high,Male,17,3358,1,20-11-2022,17:38:55
318,F,Ship,4,5,273,4,medium,Female,31,2373,1,09-08-2022,13:48:17
319,D,Ship,3,1,200,2,medium,Male,27,2551,1,02-11-2022,14:41:02
320,F,Ship,4,5,213,4,low,Male,39,2381,1,02-06-2022,19:20:35
321,A,Ship,3,4,224,2,medium,Female,15,2701,1,18-09-2022,15:40:36
322,B,Ship,4,5,141,3,medium,Male,12,1672,1,05-06-2022,11:04:11
323,C,Ship,3,3,150,3,low,Male,46,1040,1,14-05-2022,11:04:55
324,F,Ship,3,1,192,2,low,Male,33,2818,1,26-04-2022,12:50:56
325,D,Ship,5,1,279,4,medium,Female,24,3440,1,26-10-2022,10:58:48
326,F,Ship,3,4,246,3,medium,Male,30,3748,1,01-03-2022,20:39:26
327,A,Ship,3,4,173,3,medium,Male,52,1587,1,26-05-2022,18:35:51
328,B,Ship,4,4,233,4,medium,Female,59,2358,1,09-11-2022,21:43:53
329,C,Ship,5,1,274,2,medium,Male,24,2423,1,09-11-2022,22:52:27
330,F,Ship,4,5,243,4,medium,Female,41,2782,1,01-09-2022,18:27:01
331,D,Ship,3,4,197,3,medium,Female,56,3427,1,19-09-2022,13:45:55
332,F,Ship,4,3,140,3,high,Female,46,1072,1,17-11-2022,17:03:31
333,A,Ship,3,5,215,3,medium,Female,22,2585,1,16-11-2022,10:39:48
334,B,Ship,3,4,211,3,medium,Male,8,3710,1,01-07-2022,20:54:21
